batch-number,read-count,write-count,fd-4,fd-5,fd-6,fd-29,fd-n,read-max,write-max,read-got,write-got,read-time,write-time,total-entries-batch,is-malicious
18,-0.6519437333,-0.7429531793,-0.1714034896,-0.6476224253,-0.2780429780,5.8666837793,-0.2338542798,0.1614974456,0.1490711985,-0.4357332349,-0.7130433550,-0.6850782739,-0.7439110069,-0.7807299227,0
19,-0.7628961129,-0.8809733387,-0.4466171295,-0.6846943962,-0.4707170089,1.2273572073,-0.2338542798,0.1614974456,0.1490711985,-0.7269320469,-0.8579871661,-0.7904044432,-0.8639894928,-0.9212268883,0
20,-0.7813881761,-0.9021056120,-0.4973143790,-0.6905478653,-0.5036879661,-0.2487921565,-0.2257308721,0.1614974456,0.1490711985,-0.7797224748,-0.8814124285,-0.8073478640,-0.8802897398,-0.9434106197,0
21,-0.6519437333,-0.7561608500,-0.1714034896,-0.6476224253,-0.2811340052,-0.2487921565,-0.2199284381,0.1614974456,0.1490711985,-0.4357332349,-0.7214618087,-0.6763621872,-0.7487516863,-0.7894294252,0
22,-0.6548635327,-0.7581420006,-0.1786459538,-0.6485980035,-0.2862857173,-0.2487921565,-0.2176074645,0.1614974456,0.1490711985,-0.4433963616,-0.7243899665,-0.6775026098,-0.7502829216,-0.7920392760,0
23,-0.6538902662,-0.7521985488,-0.1714034896,-0.6481102144,-0.2842250325,-0.2487921565,-0.2106445436,0.1614974456,0.1490711985,-0.4365846934,-0.7199977298,-0.6824715938,-0.7475662138,-0.7876895247,0
24,-0.6490239338,-0.7455947134,-0.1641610254,-0.6466468471,-0.2780429780,-0.2487921565,-0.2048421096,0.1614974456,0.1490711985,-0.4280701083,-0.7145074339,-0.6788059499,-0.7401076159,-0.7811648978,0
25,-0.6899011263,-0.7984253965,-0.2655555243,-0.6603049417,-0.3460455771,-0.2487921565,-0.2210889249,0.1614974456,0.1490711985,-0.5353538811,-0.7679463138,-0.7167657293,-0.7866374118,-0.8342318632,0
26,-0.7930673740,-0.9166340498,-0.5262842358,-0.6944501781,-0.5222341295,-0.2487921565,-0.2303728194,0.1614974456,0.1490711985,-0.8103749813,-0.8960532175,-0.8165527033,-0.8910083870,-0.9581997740,0
27,-0.6402645354,-0.7409720287,-0.1424336328,-0.6437201126,-0.2564057873,-0.2487921565,-0.2210889249,0.1614974456,0.1490711985,-0.4050807284,-0.7042588816,-0.6656096317,-0.7370945400,-0.7742052958,0
28,-0.6276120711,-0.7178586048,-0.1641610254,-0.6422567453,-0.2213741454,-0.2487921565,-0.2048421096,0.1614974456,0.1490711985,-0.4187040646,-0.6782714812,-0.6556716637,-0.7171390861,-0.7533264898,0
29,-0.6461041343,-0.7502173982,-0.1569185612,-0.6456712690,-0.2677395539,-0.2487921565,-0.2245703853,0.1614974456,0.1490711985,-0.4204069817,-0.7134093748,-0.6694381931,-0.7399594319,-0.7829047983,0
30,-0.6402645354,-0.7442739463,-0.1424336328,-0.6437201126,-0.2584664722,-0.2487921565,-0.2245703853,0.1614974456,0.1490711985,-0.4050807284,-0.7068210197,-0.6656910904,-0.7383294072,-0.7763801714,0
31,-0.6636229311,-0.7673873702,-0.2003733464,-0.6515247381,-0.2955587990,-0.2487921565,-0.2234098985,0.1614974456,0.1490711985,-0.4663857415,-0.7328084202,-0.6860557790,-0.7609521742,-0.8020437039,0
32,-0.7405109836,-0.8532372301,-0.3959198801,-0.6768897708,-0.4325943397,2.2817496100,-0.2338542798,0.1614974456,0.1490711985,-0.6724387020,-0.8290716078,-0.7696324608,-0.8385512286,-0.8929535051,0
33,-0.6548635327,-0.7502173982,-0.1786459538,-0.6485980035,-0.2873160597,5.4449268182,-0.2338542798,0.1614974456,0.1490711985,-0.4433963616,-0.7203637495,-0.6918393505,-0.7508756579,-0.7868195745,0
34,-0.6548635327,-0.7515381653,-0.1786459538,-0.6485980035,-0.2893767445,5.4449268182,-0.2338542798,0.1614974456,0.1490711985,-0.4433963616,-0.7218278284,-0.6877664128,-0.7493938172,-0.7876895247,0
35,-0.6519437333,-0.7508777817,-0.1714034896,-0.6476224253,-0.2831946900,4.3905344155,-0.2338542798,0.1614974456,0.1490711985,-0.4357332349,-0.7192656903,-0.6827159701,-0.7482577394,-0.7859496242,0
36,-0.6548635327,-0.7535193159,-0.1786459538,-0.6485980035,-0.2831946900,3.5470204933,-0.2338542798,0.1614974456,0.1490711985,-0.4433963616,-0.7207297692,-0.6893955879,-0.7540369179,-0.7889944501,0
37,-0.7278585193,-0.8413503264,-0.3597075590,-0.6729874581,-0.4119874915,1.8599926489,-0.2338542798,0.1614974456,0.1490711985,-0.6349745273,-0.8151628583,-0.7526890400,-0.8242761639,-0.8794692762,0
38,-0.7930673740,-0.9120113650,-0.5117993074,-0.6915234435,-0.5222341295,-0.2487921565,-0.2315333062,0.1614974456,0.1490711985,-0.7976031036,-0.8905629216,-0.8172858321,-0.8876495482,-0.9551549481,0
39,-0.5478042191,-0.5976688009,0.2341745061,-0.5861609999,-0.1039151105,-0.2487921565,-0.2280518458,0.1614974456,0.1490711985,-0.0325676283,-0.5432102027,-0.5834992074,-0.6227458378,-0.6384930566,0
40,-0.5273656229,-0.5639892404,0.2631443630,-0.5856732108,-0.0585800443,0.8056002462,-0.2071630832,0.1614974456,0.1490711985,0.0019164415,-0.5077062894,-0.5566178185,-0.5877250042,-0.6071748475,0
41,-0.5390448207,-0.5943668832,0.2631443630,-0.5861609999,-0.0925813439,-0.2487921565,-0.2292123326,0.1614974456,0.1490711985,-0.0031923096,-0.5391839857,-0.5773083421,-0.6236349422,-0.6324034048,0
42,-0.5341784883,-0.5838007466,0.2703868272,-0.5832342653,-0.0802172350,-0.2487921565,-0.2268913589,0.1614974456,0.1490711985,0.0051094109,-0.5278373742,-0.5704658067,-0.6103971659,-0.6232689272,0
43,-0.5478042191,-0.5871026643,0.2269320419,-0.5861609999,-0.0956723712,-0.2487921565,-0.2176074645,0.1614974456,0.1490711985,-0.0389535672,-0.5347917490,-0.5855356763,-0.6130644790,-0.6315334546,0
44,-0.3541241881,0.1366776935,0.1979621851,-0.3559245489,0.7626028576,-0.2487921565,-0.2245703853,0.1614974456,0.1490711985,0.0202227996,0.2697196062,-0.4069780870,0.0032330400,-0.0682406667,0
45,0.1140169924,1.5353700272,0.5311155387,0.0850367894,2.4678195486,-0.2487921565,-0.2315333062,0.1614974456,0.1490711985,0.5187517598,1.8223752791,0.0133490849,1.1523510558,1.0622596850,0
46,0.2444347017,1.3795195122,1.4798783501,0.0884513130,2.2184766850,-0.2487921565,-0.2292123326,0.1614974456,0.1490711985,1.4123574707,1.6488819295,0.1353742988,1.0174541636,1.0178922222,0
47,0.0692467340,1.6000876139,0.1979621851,0.0840612112,2.5729144746,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,0.2054150265,1.8948471846,-0.0268915397,1.2072779486,1.0848783916,0
48,0.1568407179,1.5016904668,0.8280565713,0.0879635239,2.4121810584,-0.2487921565,-0.2315333062,0.1614974456,0.1490711985,0.7993073403,1.7850412671,0.0539155445,1.1253815563,1.0592148592,0
49,-0.3755360508,0.0600732031,0.2269320419,-0.3647047525,0.6430831379,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,0.0364005113,0.1877311878,-0.4349184397,-0.0781200107,-0.1282672341,0
50,-0.8251851681,-0.9542759115,-0.6059513422,-0.7051815381,-0.5778726197,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.8946693742,-0.9366814069,-0.8486474524,-0.9257328525,-0.9973475353,0
51,-0.6519437333,-0.7594627677,-0.1714034896,-0.6476224253,-0.2739216083,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4357332349,-0.7207297692,-0.6619439877,-0.7325502287,-0.7916043008,0
52,-0.6548635327,-0.7627646854,-0.1786459538,-0.6485980035,-0.2790733204,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4433963616,-0.7243899665,-0.6772582335,-0.7562596788,-0.7950841019,0
53,-0.6519437333,-0.7594627677,-0.1714034896,-0.6476224253,-0.2739216083,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4357332349,-0.7207297692,-0.6821457588,-0.7622364360,-0.7916043008,0
54,-0.6519437333,-0.7594627677,-0.1714034896,-0.6476224253,-0.2739216083,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4357332349,-0.7207297692,-0.6822272175,-0.7624340148,-0.7916043008,0
55,-0.6548635327,-0.7627646854,-0.1786459538,-0.6485980035,-0.2790733204,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.4433963616,-0.7243899665,-0.6885810004,-0.7674722729,-0.7950841019,0
56,-0.8096129043,-0.9377663230,-0.5624965569,-0.7003036472,-0.5521140594,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.8495420730,-0.9183804207,-0.8337405004,-0.9119517346,-0.9795135552,0
57,-0.7784683767,-0.8988036943,-0.4900719148,-0.6895722871,-0.4964755692,-0.2487921565,-0.2280518458,0.1614974456,0.1490711985,-0.7720593481,-0.8770201918,-0.8049041014,-0.8781163735,-0.9399308187,0
58,-0.6519437333,-0.7495570147,-0.1714034896,-0.6476224253,-0.2801036628,-0.2487921565,-0.2094840568,0.1614974456,0.1490711985,-0.4357332349,-0.7174355917,-0.6817384650,-0.7470228722,-0.7850796740,0
59,-0.6548635327,-0.7515381653,-0.1786459538,-0.6485980035,-0.2873160597,-0.2487921565,-0.2048421096,0.1614974456,0.1490711985,-0.4433963616,-0.7210957890,-0.6769323985,-0.7374403028,-0.7876895247,0
60,-0.6519437333,-0.7488966311,-0.1714034896,-0.6476224253,-0.2831946900,-0.2487921565,-0.2048421096,0.1614974456,0.1490711985,-0.4357332349,-0.7181676312,-0.6749773884,-0.7362054356,-0.7846446988,0
61,-0.6519437333,-0.7548400830,-0.1714034896,-0.6476224253,-0.2821643476,-0.2487921565,-0.2164469777,0.1614974456,0.1490711985,-0.4357332349,-0.7210957890,-0.6818199238,-0.7519129463,-0.7885594750,0
62,-0.6899011263,-0.7918215611,-0.2655555243,-0.6603049417,-0.3439848923,-0.2487921565,-0.2118050304,0.1614974456,0.1490711985,-0.5353538811,-0.7635540771,-0.7142405080,-0.7802161024,-0.8298821119,0
63,-0.6743288625,-0.7799346574,-0.2293432033,-0.6544514726,-0.3192566744,-0.2487921565,-0.2199284381,0.1614974456,0.1490711985,-0.4966125187,-0.7478152289,-0.7025104473,-0.4278837947,-0.8150929576,0
64,-0.6548635327,-0.7601231513,-0.1786459538,-0.6485980035,-0.2924677717,-0.2487921565,-0.2141260041,0.1614974456,0.1490711985,-0.4433963616,-0.7276841440,-0.6654467142,-0.7391691169,-0.7933442013,0
65,-0.6519437333,-0.7548400830,-0.1714034896,-0.6476224253,-0.2801036628,-0.2487921565,-0.2187679513,0.1614974456,0.1490711985,-0.4357332349,-0.7203637495,-0.6523318547,-0.7151632986,-0.7885594750,0
66,-0.6519437333,-0.7535193159,-0.1714034896,-0.6476224253,-0.2842250325,-0.2487921565,-0.2118050304,0.1614974456,0.1490711985,-0.4357332349,-0.7210957890,-0.6718004970,-0.7377366709,-0.7876895247,0
67,-0.6548635327,-0.7475758640,-0.1786459538,-0.6485980035,-0.2831946900,-0.2487921565,-0.2025211360,0.1614974456,0.1490711985,-0.4433963616,-0.7174355917,-0.6835305576,-0.7394160903,-0.7850796740,0
68,-0.7833347091,-0.9060679132,-0.4973143790,-0.6915234435,-0.5057486509,-0.2487921565,-0.2303728194,0.1614974456,0.1490711985,-0.7805739333,-0.8843405863,-0.8066961940,-0.8815740017,-0.9468904207,0
69,-0.7638693793,-0.8849356400,-0.4538595938,-0.6846943962,-0.4696866665,-0.2487921565,-0.2338542798,0.1614974456,0.1490711985,-0.7337437150,-0.8598172647,-0.7891825619,-0.8657183069,-0.9242717142,0
