batch-number,read-count,write-count,fd-4,fd-5,fd-6,fd-29,fd-n,read-max,write-max,read-got,write-got,read-time,write-time,total-entries-batch,is-malicious
58,183,320,61,122,299,0,21,512,8,8784,2476,0.0021049999999999992,0.0037309999999999995,503,0
59,180,317,60,120,292,0,25,512,8,8640,2436,0.0021639999999999993,0.003925,497,0
60,183,321,61,122,296,0,25,512,8,8784,2468,0.002188,0.00395,504,0
61,183,312,61,122,297,0,15,512,8,8784,2436,0.002104,0.003632,495,0
62,144,256,48,96,237,0,19,512,8,6912,1972,0.0017059999999999998,0.0030589999999999992,400,0
63,160,274,53,108,261,0,12,512,8,7640,2144,0.0018499999999999996,0.010192,434,0
64,180,304,60,120,287,0,17,512,8,8640,2364,0.0023049999999999998,0.0038899999999999994,484,0
65,183,312,61,122,299,0,13,512,8,8784,2444,0.0024659999999999994,0.004376,495,0
66,183,314,61,122,295,0,19,512,8,8784,2436,0.002227,0.003918999999999999,497,0
67,180,323,60,120,296,0,27,512,8,8640,2476,0.0020829999999999993,0.0038849999999999996,503,0
68,48,83,16,32,80,0,3,512,8,2304,652,0.000571,0.0010069999999999999,131,0
69,68,115,22,46,115,0,0,512,8,3184,920,0.0007859999999999999,0.0013279999999999995,183,0
70,195,325,65,130,325,0,0,512,8,9360,2600,0.0022709999999999996,0.0037749999999999993,520,0
71,192,320,64,128,320,0,0,512,8,9216,2560,0.0022299999999999993,0.003731999999999999,512,0
72,189,315,63,126,315,0,0,512,8,9072,2520,0.0021839999999999993,0.0035819999999999992,504,0
73,192,320,64,128,320,0,0,512,8,9216,2560,0.0022139999999999994,0.0036419999999999994,512,0
74,138,230,46,92,230,0,0,512,8,6624,1840,0.001602,0.0026689999999999995,368,0
75,86,151,28,58,143,0,8,512,8,4048,1176,0.0009460000000000002,0.0017000000000000001,237,0
76,180,315,60,120,293,0,22,512,8,8640,2432,0.0020209999999999994,0.0035939999999999995,495,0
77,183,318,61,122,299,0,19,512,8,8784,2468,0.0020259999999999996,0.0036,501,0
78,183,332,61,122,300,0,32,512,8,8784,2528,0.0020369999999999997,0.0038249999999999994,515,0
79,180,323,60,120,291,0,32,512,8,8640,2456,0.0020009999999999993,0.0037519999999999997,503,0
80,113,195,38,76,181,0,13,512,8,5464,1508,0.0012989999999999996,0.0022599999999999994,308,0
81,63,107,21,42,96,0,11,512,8,3024,812,0.000759,0.0013439999999999997,170,0
82,182,309,60,122,295,0,14,512,8,8656,2416,0.0020719999999999996,0.0036219999999999994,491,0
83,180,302,60,120,291,0,11,512,8,8640,2372,0.0023039999999999996,0.003931,482,0
84,180,304,60,120,294,0,10,512,8,8640,2392,0.0020869999999999994,0.0035379999999999995,484,0
85,183,324,61,122,300,0,24,512,8,8784,2496,0.002188,0.003915999999999999,507,0
86,138,237,46,92,229,0,8,512,8,6624,1864,0.001869,0.003292999999999999,375,0
87,110,185,36,74,185,0,0,512,8,5200,1480,0.0013589999999999995,0.00207,295,0
88,191,318,64,128,317,0,0,512,8,9208,2544,0.0021729999999999996,0.0036069999999999995,509,0
89,192,320,64,128,320,0,0,512,8,9216,2560,0.002189,0.004311,512,0
90,192,320,64,128,320,0,0,512,8,9216,2560,0.0021789999999999995,0.0036029999999999994,512,0
91,189,315,63,126,315,0,0,512,8,9072,2520,0.0021539999999999997,0.0035049999999999994,504,0
92,102,170,34,68,170,0,0,512,8,4896,1360,0.0011579999999999995,0.0018999999999999998,272,0
93,183,328,61,123,298,0,29,512,8,8784,2508,0.0020469999999999993,0.0037849999999999997,511,0
94,194,333,64,129,324,0,10,512,8,9232,2624,0.0021659999999999995,0.0037519999999999993,527,0
95,190,330,64,127,310,0,19,512,8,9200,2564,0.002142,0.0037909999999999992,520,0
96,189,332,63,126,311,0,21,512,8,9072,2572,0.0021009999999999996,0.0037519999999999993,521,0
97,195,341,65,130,321,0,20,512,8,9360,2648,0.0021919999999999995,0.0038909999999999995,536,0
98,18,31,6,12,30,0,1,512,8,864,244,0.000206,0.000357,49,0
99,92,168,30,62,154,0,14,512,8,4336,1288,0.00101,0.0019289999999999997,260,0
100,192,341,64,128,314,0,27,512,8,9216,2620,0.0021279999999999997,0.0038409999999999994,533,0
101,189,342,63,126,313,0,29,512,8,9072,2620,0.0021209999999999996,0.0039759999999999995,531,0
102,193,347,65,129,320,0,26,512,8,9344,2672,0.002176,0.003995,540,0
103,191,328,64,128,311,0,16,512,8,9208,2560,0.0021129999999999994,0.0037009999999999994,519,0
104,107,190,36,72,174,0,15,512,8,5176,1460,0.0012489999999999995,0.0022029999999999992,297,0
105,107,180,35,72,180,0,0,512,8,5056,1440,0.0011979999999999998,0.0020289999999999996,287,0
106,183,305,61,122,305,0,0,512,8,8784,2440,0.0020989999999999993,0.0034529999999999995,488,0
107,180,300,60,120,300,0,0,512,8,8640,2400,0.002071,0.00339,480,0
108,180,300,60,120,300,0,0,512,8,8640,2400,0.0020509999999999994,0.0033949999999999996,480,0
109,186,310,62,124,310,0,0,512,8,8928,2480,0.0022579999999999996,0.003734,496,0
110,84,140,28,56,140,0,0,512,8,4032,1120,0.000993,0.0016349999999999997,224,0
111,228,429,64,147,405,0,41,512,8,9504,3360,0.003109,0.005994,657,0
112,195,352,61,130,341,0,15,512,8,8880,2800,0.002861,0.005154,547,0
113,184,306,61,122,295,0,12,512,8,8784,2408,0.004103,0.0066229999999999995,490,0
114,188,325,63,126,311,0,13,512,8,9064,2548,0.003487,0.006284,513,0
115,307,641,61,180,610,0,97,512,8,9776,5064,0.004138000000000001,0.00868,948,0
116,24,41,8,16,38,0,3,512,8,1152,316,0.000316,0.000544,65,0
117,32,56,10,22,54,0,2,512,8,1456,440,0.000354,0.000623,88,0
118,190,332,64,127,308,0,23,512,8,9200,2564,0.002139,0.0037799999999999995,522,0
119,192,338,64,128,316,0,22,512,8,9216,2616,0.0021519999999999994,0.003887,530,0
120,192,330,64,128,303,0,27,512,8,9216,2532,0.0021669999999999997,0.0038389999999999995,522,0
121,189,324,63,126,312,0,12,512,8,9072,2544,0.0021269999999999996,0.0036619999999999995,513,0
122,174,300,58,116,287,0,13,512,8,8352,2348,0.0019519999999999993,0.003401,474,0
123,44,75,14,30,75,0,0,512,8,2032,600,0.000536,0.0008999999999999998,119,0
124,189,315,63,126,315,0,0,512,8,9072,2520,0.002332,0.0037499999999999994,504,0
125,189,315,63,126,315,0,0,512,8,9072,2520,0.002334,0.0037329999999999993,504,0
126,195,325,65,130,325,0,0,512,8,9360,2600,0.0024609999999999996,0.0039049999999999996,520,0
127,209,362,64,134,358,0,15,512,8,9352,2896,0.0025779999999999996,0.004439,571,0
128,165,275,55,110,275,0,0,512,8,7920,2200,0.002001,0.0033079999999999997,440,0
129,170,296,56,114,281,0,15,512,8,8080,2308,0.002297,0.00413,466,0
130,188,322,63,126,310,0,11,512,8,9064,2532,0.00266,0.004498,510,0
131,226,409,65,139,395,0,36,512,8,9608,3224,0.003302,0.006043999999999999,635,0
132,193,337,63,128,322,0,17,512,8,9104,2640,0.0026379999999999997,0.004624,530,0
133,206,370,61,134,360,0,21,512,8,8968,2944,0.0036090000000000002,0.006553,576,0
134,51,86,17,34,84,0,2,512,8,2448,680,0.0008119999999999999,0.0014479999999999999,137,0
135,21,37,6,13,35,0,4,512,8,884,284,0.000286,0.0005760000000000001,58,0
136,185,327,61,124,309,0,18,512,8,8800,2544,0.002406,0.004431,512,0
137,180,310,60,120,290,0,20,512,8,8640,2400,0.002578,0.0047409999999999996,490,0
138,180,313,60,119,294,0,20,512,8,8640,2424,0.002291,0.004063,493,0
139,184,322,62,123,299,0,22,512,8,8912,2488,0.002535,0.004523,506,0
